Year,Club,Points
2016,Real Madrid,347.0
2016,Barcelona,317.0
2016,Bayern Munich,292.0
2016,Man United,229.0
2016,Chelsea,224.0
2016,Atletico Madrid,211.0
2017,Real Madrid,379.0
2017,Barcelona,317.0
2017,Bayern Munich,297.0
2017,Atletico Madrid,230.0
2017,Man United,220.0
2017,Chelsea,216.0
2018,Real Madrid,382.0
2018,Barcelona,321.0
2018,Bayern Munich,297.0
2018,Atletico Madrid,235.0
2018,Chelsea,227.0
2018,Man United,214.0
2019,Real Madrid,382.0
2019,Bayern Munich,318.0
2019,Barcelona,314.0
2019,Atletico Madrid,236.0
2019,Chelsea,225.0
2019,Juventus,215.0
2020,Real Madrid,372.0
2020,Bayern Munich,324.0
2020,Barcelona,301.0
2020,Chelsea,247.0
2020,Atletico Madrid,246.0
2020,Juventus,230.0
2021,Real Madrid,378.0
2021,Bayern Munich,320.0
2021,Barcelona,286.0
2021,Juventus,250.0
2021,Chelsea,242.0
2021,Atletico Madrid,235.0
2022,Real Madrid,381.0
2022,Bayern Munich,314.0
2022,Barcelona,271.0
2022,Man City,246.0
2022,Juventus,244.0
2022,Chelsea,236.0
2023,Real Madrid,282.0
2023,Bayern Munich,272.0
2023,Man City,254.0
2023,Barcelona,229.0
2023,Paris,219.0
2023,Atletico Madrid,216.0
2024,Real Madrid,272.5
2024,Bayern Munich,263.25
2024,Man City,253.75
2024,Liverpool,225.5
2024,Barcelona,221.25
2024,Atletico Madrid,218.5
